Major,Total - Bachelor,Total Males - Bachelor,Total Females - Bachelor,Total - Master,Total Males - Master,Total Females - Masters,Total Phd,Total Males - Phd,Total Females - Phd
"  Bilingual, multilingual, and multicultural education, other .................................",0,0,0,6,1,5,0,0,0
  Curriculum and instruction ..................................................................,22,1,21,17972,3436,14536,1173,288,885
"  Educational leadership and administration, general ..........................................",0,0,0,18725,6656,12069,3555,1307,2248
  Administration of special education .........................................................,0,0,0,36,6,30,7,0,7
  Adult and continuing education administration ...............................................,10,8,2,848,219,629,57,24,33
"  Educational, instructional, and curriculum supervision ......................................",41,4,37,1000,264,736,54,15,39
  Higher education/higher education administration ............................................,8,1,7,2315,659,1656,468,175,293
  Community college education .................................................................,0,0,0,37,4,33,37,12,25
  Elementary and middle school administration/principalship ...................................,0,0,0,1129,446,683,37,15,22
  Secondary school administration/principalship ...............................................,0,0,0,525,204,321,30,6,24
  Urban education and leadership ..............................................................,82,31,51,365,107,258,42,15,27
  Superintendency and educational system administration .......................................,0,0,0,854,309,545,75,29,46
"  Educational administration and supervision, other ...........................................",1,0,1,1492,514,978,314,107,207
  Educational/instructional media design ......................................................,27,16,11,4003,1164,2839,161,74,87
  Educational evaluation and research .........................................................,0,0,0,44,17,27,53,19,34
  Educational statistics and research methods .................................................,0,0,0,56,24,32,26,7,19
"  Educational assessment, testing, and measurement ............................................",0,0,0,62,10,52,11,5,6
  Learning sciences ............................................................................,0,0,0,19,7,12,2,1,1
"  Educational assessment, evaluation, and research, other .....................................",8,5,3,147,41,106,65,22,43
  International and comparative education .....................................................,1,0,1,276,45,231,23,4,19
  Social and philosophical foundations of education ...........................................,29,4,25,645,161,484,126,49,77
"  Special education and teaching, general .....................................................",7230,813,6417,14367,2247,12120,198,35,163
  Education/teaching of individuals with hearing impairments/deafness ..............,139,5,134,154,21,133,4,2,2
  Education/teaching of the gifted and talented ...............................................,0,0,0,317,32,285,1,0,1
  Education/teaching of individuals with emotional disturbances ...............................,151,27,124,97,21,76,8,4,4
  Education/teaching of individuals with mental retardation ...................................,188,14,174,228,52,176,2,0,2
  Education/teaching of individuals with multiple disabilities ................................,162,12,150,579,101,478,0,0,0
  Educ./teach. of individuals with orthopedic/physical health impair. .......................,2,1,1,22,2,20,0,0,0
  Education/teaching of individuals with vision impairments/blindness ..........................,23,0,23,126,18,108,0,0,0
  Educ./teach. of individuals with specific learning disabilities .......................,318,23,295,314,49,265,0,0,0
  Education/teaching of individuals with speech/language impairments .......................,273,11,262,259,10,249,0,0,0
  Education/teaching of individuals with autism ...............................................,0,0,0,149,12,137,0,0,0
  Education/teaching of individuals who are developmentally delayed ...........................,4,0,4,164,26,138,0,0,0
  Educ./teach. of individuals in early childhood spec. educ. programs .........................,204,8,196,1027,80,947,0,0,0
  Education/teaching of individuals in elementary special educ. programs ......................................................,133,6,127,427,54,373,0,0,0
  Educ./teach. of individuals in jr. high/middle school special educ. prog. ......................................................,2,0,2,200,77,123,0,0,0
  Education/teaching of individuals in secondary special educ. prog. ......................................................,12,6,6,184,54,130,0,0,0
"  Special education and teaching, other .......................................................",428,40,388,525,74,451,2,0,2
  Counselor education/school counseling and guidance services .................................,21,1,20,12952,2237,10715,320,82,238
  College student counseling and personnel services ...........................................,1,1,0,1041,285,756,24,12,12
"  Student counseling and personnel services, other ............................................",10,3,7,242,35,207,7,2,5
  Adult and continuing education and teaching .................................................,30,6,24,1212,365,847,172,48,124
  Elementary education and teaching ...........................................................,38440,3623,34817,13914,1807,12107,46,7,39
  Junior high/intermediate/middle school education and teaching ...............................,2831,680,2151,978,271,707,1,0,1
  Secondary education and teaching ............................................................,3865,1553,2312,8833,3285,5548,27,6,21
"  Teacher education, multiple levels ..........................................................",1785,299,1486,4533,1147,3386,36,5,31
  Montessori teacher education ................................................................,4,0,4,184,10,174,0,0,0
  Waldorf/Steiner teacher education ...............................................,0,0,0,1,0,1,0,0,0
  Kindergarten/preschool education and teaching ...............................................,1949,63,1886,358,8,350,10,1,9
  Early childhood education and teaching ......................................................,11620,378,11242,3042,171,2871,18,1,17
"  Teacher educ. and prof. dev., specific levels and methods, other ...........................",187,22,165,3826,888,2938,73,25,48
  Agricultural teacher education ..............................................................,640,259,381,321,100,221,39,21,18
  Art teacher education .......................................................................,1414,198,1216,1129,170,959,28,7,21
  Business teacher education ..................................................................,336,141,195,178,65,113,0,0,0
  Driver and safety teacher education .........................................................,0,0,0,9,4,5,0,0,0
  English/language arts teacher education .....................................................,2815,577,2238,1054,254,800,13,5,8
  Foreign language teacher education ..........................................................,110,20,90,237,45,192,17,6,11
  Health teacher education ....................................................................,1458,447,1011,693,199,494,38,7,31
  Family and consumer sciences/home economics teacher education ...............................,359,8,351,86,7,79,5,3,2
  Technology teacher education/industrial arts teacher education ..............................,485,406,79,336,162,174,4,2,2
  Sales and marketing operations/marketing and dist. teacher educ. .............................,22,8,14,124,50,74,0,0,0
  Mathematics teacher education ...............................................................,2282,746,1536,1933,639,1294,71,24,47
  Music teacher education .....................................................................,3780,1561,2219,1253,484,769,55,25,30
  Physical education teaching and coaching ....................................................,8693,5152,3541,2225,1312,913,38,18,20
  Reading teacher education ...................................................................,118,6,112,8028,378,7650,64,11,53
  Science teacher education/general science teacher education .................................,769,272,497,871,303,568,62,22,40
  Social science teacher education ............................................................,611,315,296,153,71,82,0,0,0
  Social studies teacher education ............................................................,2040,1201,839,745,391,354,7,4,3
  Technical teacher education .................................................................,303,163,140,233,84,149,66,19,47
  Trade and industrial teacher education ......................................................,841,538,303,278,100,178,10,6,4
  Computer teacher education ..................................................................,4,3,1,635,187,448,5,1,4
  Biology teacher education ...................................................................,453,171,282,327,108,219,0,0,0
  Chemistry teacher education .................................................................,94,47,47,82,38,44,0,0,0
  Drama and dance teacher education ...........................................................,147,26,121,72,15,57,0,0,0
  French language teacher education ...........................................................,66,11,55,40,4,36,0,0,0
  German language teacher education ...........................................................,21,12,9,2,2,0,0,0,0
  Health occupations teacher education ........................................................,7,0,7,27,3,24,10,1,9
  History teacher education ...................................................................,751,433,318,107,58,49,0,0,0
  Physics teacher education ...................................................................,58,38,20,58,40,18,0,0,0
  Spanish language teacher education ..........................................................,464,80,384,166,35,131,0,0,0
  Speech teacher education ....................................................................,41,9,32,62,8,54,16,5,11
  Geography teacher education .................................................................,5,4,1,9,3,6,0,0,0
  Latin teacher education .....................................................................,4,3,1,8,4,4,0,0,0
  School librarian/library media specialist .....................................................................,7,1,6,170,13,157,0,0,0
  Psychology teacher education ................................................................,13,3,10,0,0,0,0,0,0
  Earth science teacher education ......................................................,33,24,9,54,21,33,0,0,0
  Environmental education ............................................................................,1,0,1,10,1,9,0,0,0
"  Teacher educ. and prof. dev., specific subject areas, other ................................",370,99,271,2160,528,1632,53,13,40
  Teaching English as a second/foreign language/ESL language instructor ....................,235,44,191,3056,546,2510,16,1,15
  Teaching French as a second or foreign language ....................................,1,0,1,1,0,1,0,0,0
"  Teaching English or French as a second or foreign lang., other ......................................................",36,11,25,0,0,0,0,0,0
  Teacher assistant/aide ..................................................................,0,0,0,1,0,1,0,0,0
  Adult literacy tutor/instructor .............................................................,0,0,0,26,1,25,3,0,3
"  Education, other ............................................................................",1976,462,1514,3555,844,2711,261,100,161
, , , , , , , , , 
Engineering and engineering technologies .................................................................................,98540,81270,17270,45097,34698,10399,8856,6838,2018
  Engineering .................................................................................,81382,65829,15553,40323,31190,9133,8722,6770,1952
"    Engineering, general ........................................................................",2133,1697,436,2169,1684,485,399,323,76
    Pre-engineering ...........................................................................,6,6,0,0,0,0,0,0,0
"    Aerospace, aeronautical and astronautical engineering .......................................",3545,3082,463,1408,1217,191,275,235,40
    Agricultural engineering ......................................................,969,675,294,272,166,106,131,90,41
    Architectural engineering ....................................................................................................,813,607,206,142,102,40,4,2,2
    Bioengineering and biomedical engineering ..............................................................................,4464,2696,1768,1861,1129,732,882,564,318
    Ceramic sciences and engineering .............................................................................,69,49,20,7,5,2,10,10,0
    Chemical engineering ........................................................................................,6982,4743,2239,1377,878,499,818,560,258
    Chemical and biomolecular engineering ......................................................,46,18,28,12,7,5,5,3,2
"    Civil engineering, general ..................................................................",12523,9912,2611,4960,3650,1310,751,569,182
    Structural engineering ......................................................................,198,156,42,200,165,35,12,9,3
    Transportation and highway engineering ......................................................,0,0,0,93,69,24,10,10,0
    Water resources engineering .................................................................,9,7,2,63,34,29,13,10,3
"    Civil engineering, other ....................................................................",16,6,10,25,18,7,1,1,0
"    Computer engineering, general ...............................................................",4256,3882,374,1770,1413,357,347,292,55
    Computer hardware engineering ............................................................,0,0,0,3,1,2,0,0,0
    Computer software engineering ...............................................................,575,518,57,1101,813,288,7,6,1
"    Computer engineering, other .................................................................",0,0,0,18,14,4,1,1,0
    Electrical and electronics engineering .................................................,12086,10648,1438,9442,7636,1806,2091,1728,363
    Laser and optical engineering ......................................................,11,8,3,34,32,2,14,13,1
    Telecommunications engineering ......................................................,3,3,0,173,139,34,3,3,0
"    Electrical, electronics and communications engineering, other ......................................................",13,12,1,47,37,10,11,7,4
    Engineering mechanics .......................................................................,107,92,15,119,108,11,64,52,12
    Engineering physics/applied physics  .........................................................................,463,402,61,85,67,18,36,25,11
    Engineering science .........................................................................,457,323,134,308,238,70,89,67,22
    Environmental/environmental health engineering ..............................................,980,536,444,744,388,356,127,78,49
    Materials engineering .......................................................................,1028,754,274,764,512,252,549,423,126
    Mechanical engineering ......................................................................,20541,18057,2484,5841,5105,736,1213,1031,182
    Metallurgical engineering ...................................................................,121,87,34,41,33,8,20,14,6
    Mining and mineral engineering ..............................................................,250,219,31,53,44,9,8,7,1
    Naval architecture and marine engineering ...................................................,386,352,34,59,50,9,2,1,1
    Nuclear engineering .........................................................................,552,474,78,320,274,46,106,91,15
    Ocean engineering ...........................................................................,175,136,39,64,49,15,16,13,3
    Petroleum engineering .......................................................................,1068,905,163,432,364,68,74,62,12
    Systems engineering .........................................................................,720,581,139,1868,1449,419,89,69,20
    Textile sciences and engineering ............................................................,247,84,163,58,24,34,26,19,7
    Polymer/plastics engineering ................................................................,100,83,17,84,64,20,65,48,17
    Construction engineering ....................................................................,375,337,38,134,98,36,0,0,0
    Forest engineering ..........................................................................,42,34,8,6,5,1,1,1,0
    Industrial engineering ......................................................................,3421,2397,1024,2100,1506,594,283,203,80
    Manufacturing engineering ...................................................................,261,229,32,273,219,54,8,5,3
    Operations research .........................................................................,373,260,113,590,427,163,53,41,12
    Surveying engineering .........................................................................,55,53,2,6,5,1,2,2,0
    Geological/geophysical engineering ..........................................................,154,97,57,122,100,22,4,3,1
    Paper science and engineering ......................................................,17,14,3,1,1,0,2,1,1
    Electromechanical engineering ......................................................,38,37,1,0,0,0,0,0,0
"    Mechatronics, robotics, and automation engineering ......................................................",0,0,0,29,28,1,18,16,2
    Biochemical engineering ............................................................................,51,35,16,2,1,1,0,0,0
    Engineering chemistry .....................................................................,3,3,0,0,0,0,0,0,0
    Biological/biosystems engineering ......................................................,88,56,32,12,9,3,2,1,1
"    Engineering, other ..........................................................................",592,467,125,1031,813,218,80,61,19
, ,,, ,,, ,,
  Engineering technologies/construction trades/mechanics and repairers ........................................................,17158,15441,1717,4774,3508,1266,134,68,66
    Engineering technologies and engineering-related fields ........................................................,16531,14847,1684,4769,3504,1265,134,68,66
"      Engineering technology, general ..........................................................................................",1205,1105,100,293,232,61,5,4,1
      Architectural engineering technology/technician .............................................,458,418,40,0,0,0,0,0,0
      Civil engineering technology/technician ....................................................................,610,524,86,0,0,0,0,0,0
      Electrical/electronic/communications eng. technology/technician ...............................,2147,1979,168,26,22,4,0,0,0
      Laser and optical technology/technician ..........................................................,2,2,0,0,0,0,0,0,0
      Telecommunications technology/technician ....................................................,87,67,20,84,71,13,0,0,0
"      Electrical/electronic eng. technologies/technicians, other .......................",255,227,28,0,0,0,0,0,0
      Biomedical technology/technician ............................................................,90,73,17,1,1,0,3,2,1
      Electromechanical technology/electromechanical eng. technology .......................,93,86,7,1,1,0,0,0,0
      Instrumentation technology/technician .......................................................,18,15,3,0,0,0,0,0,0
      Robotics technology/technician ..............................................................,12,11,1,0,0,0,0,0,0
      Automation engineer technology/technician ......................................................,31,30,1,0,0,0,0,0,0
      Electromechanical/instrumentation and maintenance technol./tech. .............,8,8,0,0,0,0,0,0,0
"      Heating, ventilation, air conditioning and refrig. eng. technol./tech. ..........",5,4,1,0,0,0,0,0,0
      Energy management and systems technology/technician .........................................,111,97,14,60,48,12,0,0,0
      Solar energy technology/technician .........................................................................................,71,59,12,5,5,0,0,0,0
      Water quality/wastewater treatment manage./recycling technol./tech. ............,25,12,13,0,0,0,0,0,0
      Environmental engineering technology/environmental technology ...............................,82,56,26,70,48,22,2,1,1
      Hazardous materials management and waste technology/technician ..............................,1,1,0,0,0,0,0,0,0
"      Environmental control technologies/technicians, other .......................................",9,3,6,60,30,30,0,0,0
      Plastics engineering technology/technician ..................................................,96,89,7,6,4,2,0,0,0
      Industrial technology/technician ............................................................,1851,1703,148,393,267,126,15,12,3
      Manufacturing technology/technician .........................................................,597,552,45,61,54,7,0,0,0
      Welding engineering technology/technician ......................................................,6,6,0,0,0,0,0,0,0
"      Industrial production technologies/technicians, other .......................................",272,241,31,19,16,3,0,0,0
      Occupational safety and health technology/technician ........................................,894,748,146,386,291,95,0,0,0
      Quality control technology/technician .......................................................,11,10,1,87,50,37,0,0,0
      Industrial safety technology/technician .....................................................,109,90,19,25,19,6,0,0,0
"      Quality control and safety technologies/technicians, other ..................................",42,35,7,3,2,1,0,0,0
      Aeronautical/aerospace engineering technology/technician ....................................,72,62,10,0,0,0,0,0,0
      Automotive engineering technology/technician ................................................,311,300,11,16,14,2,0,0,0
      Mechanical engineering/mechanical technology/technician .....................................,1461,1399,62,7,6,1,0,0,0
"      Mechanical engineering related technologies/technicians, other ..............................",216,198,18,0,0,0,0,0,0
      Mining technology/technician ................................................................,4,4,0,0,0,0,0,0,0
      Petroleum technology/technician .............................................................,16,14,2,0,0,0,0,0,0
"      Mining and petroleum technologies/technicians, other ........................................",0,0,0,0,0,0,0,0,0
      Construction engineering technology/technician ..............................................,2089,1917,172,164,123,41,0,0,0
      Surveying technology/surveying ..............................................................,206,186,20,12,9,3,5,4,1
      Hydraulics and fluid power technology/technician ..........................................................,1,0,1,0,0,0,0,0,0
"      Engineering-related technologies, other ..........................................................................................",2,1,1,0,0,0,0,0,0
      Computer engineering technology/technician ..................................................,480,414,66,0,0,0,0,0,0
      Computer technology/computer systems technology .............................................,337,299,38,7,5,2,1,1,0
      Computer hardware technology/technician ..........................................,0,0,0,0,0,0,0,0,0
      Computer software technology/technician .....................................................,34,32,2,0,0,0,0,0,0
"      Computer engineering technologies/technicians, other ........................................",9,8,1,0,0,0,0,0,0
"      Drafting/design engineering technologies/technicians, general .................................",85,68,17,0,0,0,0,0,0
      CAD/CADD drafting and/or design technology/technician .......................................,64,57,7,6,5,1,0,0,0
      Civil drafting and civil engineering CAD/CADD ......................................................,6,6,0,0,0,0,0,0,0
      Mechanical drafting and mechanical drafting CAD/CADD ........................................,40,29,11,0,0,0,0,0,0
"      Drafting/design engineering technologies/technicians, other .................................",11,3,8,0,0,0,0,0,0
      Nuclear engineering technology/technician .........................................,149,135,14,0,0,0,0,0,0
      Engineering/industrial management ...........................................................,824,694,130,2839,2092,747,56,36,20
      Packaging science ................................................................................,264,183,81,30,15,15,3,2,1
"      Engineering-related fields, other ............................................................................",7,7,0,0,0,0,1,0,1
      Nanotechnology ............................................................................,0,0,0,8,7,1,43,6,37
"      Engineering tech. and engineering-related fields, other ......................................................",645,580,65,100,67,33,0,0,0
, ,,, ,,, ,,
    Construction trades ....................................................................................,377,359,18,5,4,1,0,0,0
"      Construction trades, general .................................................................................",17,17,0,0,0,0,0,0,0
      Building/property maintenance ....................................................................,0,0,0,5,4,1,0,0,0
      Building/construction site management/manager ......................................................,140,134,6,0,0,0,0,0,0
      Building construction technology ....................................................................,35,33,2,0,0,0,0,0,0
"      Building/construction finishing, mgmt., and inspection, other ..........................",92,88,4,0,0,0,0,0,0
"      Construction trades, other ..................................................................",93,87,6,0,0,0,0,0,0
   , ,,, ,,, ,,
    Mechanic and repair technologies/technicians ................................................,250,235,15,0,0,0,0,0,0
      Communications systems installation and repair technology ............................................,1,1,0,0,0,0,0,0,0
      Industrial electronics technology/technician ..................................................,1,1,0,0,0,0,0,0,0
      Heavy equipment maintenance technology/technician ...........................................,16,16,0,0,0,0,0,0,0
      Autobody/collision and repair technology/technician ..................................................,0,0,0,0,0,0,0,0,0
      Automobile/automotive mechanics technology/technician .......................................,27,24,3,0,0,0,0,0,0
      Diesel mechanics technology/technician ......................................................,22,21,1,0,0,0,0,0,0
      Airframe mechanics and aircraft maintenance technology/technician ...........................,43,39,4,0,0,0,0,0,0
      Aircraft powerplant technology/technician ...................................................,46,44,2,0,0,0,0,0,0
      Avionics maintenance technology/technician ..................................................,93,88,5,0,0,0,0,0,0
"      Vehicle maintenance and repair, other ...............................................................",1,1,0,0,0,0,0,0,0
, ,,, ,,, ,,
English language and literature/letters .....................................................,53767,16976,36791,9939,3403,6536,1427,548,879
"  English language and literature, general ......................................................",43260,13273,29987,5411,1815,3596,1219,470,749
"  Writing, general ............................................................................",559,218,341,101,34,67,0,0,0
  Creative writing ............................................................................,2715,1008,1707,3379,1226,2153,17,10,7
"  Professional, technical, business, and scientific writing ......................................................",685,237,448,335,112,223,28,10,18
  Rhetoric and composition ................................................................................,5008,1784,3224,347,114,233,91,28,63
"  Rhetoric and composition/writing studies, other ......................................................",24,9,15,3,1,2,5,1,4
  General literature ..........................................................................................................,200,58,142,17,6,11,5,1,4
  American literature (United States) ......................................................,57,23,34,6,0,6,0,0,0
  English literature (British and Commonwealth) ......................................................,325,84,241,177,52,125,8,4,4
  Children's and adolescent literature ......................................................,0,0,0,0,0,0,0,0,0
"  Literature, other ..........................................................................................................",6,0,6,0,0,0,0,0,0
"  English language and literature/letters, other ......................................................",928,282,646,163,43,120,54,24,30
, ,,, ,,, ,,
Family and consumer sciences/human sciences .................................................,23428,2693,20735,3157,413,2744,325,59,266
"  Family and consumer sciences/human sciences, general ........................................",3827,329,3498,562,92,470,63,18,45
  Business family and consumer sciences/human sciences ........................................,184,58,126,5,0,5,3,0,3
  Family and consumer sciences/human sciences communication ...................................,21,3,18,0,0,0,0,0,0
  Consumer merchandising/retailing management .................................................,229,25,204,5,1,4,1,0,1
"  Family resource management studies, general .................................................",800,243,557,85,34,51,5,1,4
  Consumer economics ..........................................................................,257,87,170,0,0,0,0,0,0
"  Family and consumer economics and related services, other ...................................",368,39,329,3,1,2,5,2,3
"  Foods, nutrition, and wellness studies, general .............................................",2417,431,1986,598,68,530,35,6,29
  Human nutrition .............................................................................,664,114,550,280,34,246,22,8,14
  Food service systems administration/management ...............................................,794,314,480,4,0,4,0,0,0
"  Foods, nutrition, and related services, other ...............................................",16,2,14,24,2,22,0,0,0
"  Housing and human environments, general .....................................................",235,42,193,30,8,22,7,2,5
  Facilities planning and management .....................................................,65,57,8,11,9,2,0,0,0
"  Housing and human environments, other .......................................................",33,4,29,0,0,0,0,0,0
"  Human development and family studies, general ...............................................",7335,590,6745,613,86,527,97,11,86
  Adult development and aging .................................................................,11,1,10,140,12,128,0,0,0
  Family systems ..............................................................................,427,47,380,28,2,26,7,2,5
  Child development ...........................................................................,1739,63,1676,230,12,218,38,3,35
  Family and community services ...............................................................,1011,113,898,293,26,267,18,1,17
  Child care and support services management ..................................................,235,4,231,45,3,42,0,0,0
  Child care provider/assistant ...............................................................,6,0,6,3,0,3,0,0,0
"  Human development, family studies, and related services, other ..............................",421,25,396,46,4,42,8,1,7
"  Apparel and textiles, general ...............................................................",1952,87,1865,75,10,65,12,3,9
  Apparel and textile manufacture .............................................................,50,4,46,0,0,0,0,0,0
  Textile science ............................................................................,0,0,0,0,0,0,1,1,0
  Apparel and textile marketing management ....................................................,293,5,288,41,2,39,1,0,1
"  Apparel and textiles, other .....................................................................",11,0,11,1,0,1,0,0,0
"  Family and consumer sciences/human sciences, other ..........................................",27,6,21,35,7,28,2,0,2
, ,,, ,,, ,,
"Foreign languages, literatures, and linguistics .............................................",21764,6630,15134,3827,1280,2547,1231,497,734
"  Foreign languages and literatures, general ..................................................",1677,494,1183,243,67,176,18,9,9
  Linguistics .................................................................................,1947,643,1304,755,270,485,238,111,127
  Language interpretation and translation .....................................................,56,19,37,147,37,110,4,2,2
  Comparative literature ......................................................................,731,204,527,143,54,89,172,70,102
  Applied linguistics ..........................................................................................................,3,1,2,21,8,13,1,0,1
"  Linguistic/comparative/related language studies and serv., other ...................",159,45,114,12,3,9,10,5,5
"  African languages, literatures, and linguistics .............................................",5,2,3,1,1,0,3,1,2
"  East Asian languages, literatures, and linguistics, general .................................",181,82,99,96,32,64,18,9,9
  Chinese language and literature .............................................................,496,240,256,46,8,38,9,2,7
  Japanese language and literature ............................................................,668,326,342,36,16,20,9,4,5
  Korean language and literature ..............................................................,38,21,17,8,5,3,3,1,2
"  East Asian languages, literatures, and linguistics, other ...................................",91,44,47,31,17,14,15,7,8
"  Slavic languages, literatures, and linguistics, general .....................................",63,24,39,55,23,32,25,7,18
  Russian language and literature .............................................................,392,187,205,17,4,13,2,1,1
  Polish language and literature ..............................................................,1,1,0,0,0,0,0,0,0
"  Slavic/Baltic/Albanian languages, lit., and linguistics, other ...........................................",1,0,1,0,0,0,2,0,2
"  Germanic languages, literatures, and linguistics, general ...................................",87,50,37,30,15,15,25,12,13
  German language and literature ..............................................................,1001,451,550,130,49,81,67,21,46
"  Scandinavian languages, literatures, and linguistics ........................................",11,6,5,2,1,1,0,0,0
  Danish language and literature ...........................................................................,1,0,1,0,0,0,0,0,0
  Dutch/Flemish language and literature ...........................................................,1,0,1,0,0,0,0,0,0
  Norwegian language and literature ...........................................................,2,2,0,0,0,0,0,0,0
  Swedish language and literature ...........................................................,6,1,5,0,0,0,0,0,0
  Modern Greek language and literature ........................................................,5,2,3,0,0,0,0,0,0
"  South Asian languages, literatures, and linguistics, general ................................",4,0,4,2,1,1,4,2,2
"  Iranian and Persian languages, lit., and linguistics ...............................................",10,4,6,0,0,0,1,1,0
"  Romance languages, literatures, and linguistics, general ....................................",139,32,107,83,28,55,43,15,28
  French language and literature ..............................................................,2362,527,1835,341,84,257,96,31,65
  Italian language and literature .............................................................,332,99,233,72,29,43,35,17,18
  Portuguese language and literature ..........................................................,53,30,23,14,6,8,7,3,4
  Spanish language and literature .............................................................,8718,2158,6560,991,267,724,189,58,131
"  Hispanic and Latin American languages, lit., and linguistics, general ......................................................",83,20,63,20,6,14,17,3,14
"  Romance languages, literatures, and linguistics, other ......................................",84,29,55,64,25,39,37,15,22
"  American Indian/Native American languages, literatures, and linguistics ......................................",1,0,1,4,2,2,1,1,0
"  Middle/Near Eastern and Semitic languages, lit., and linguistics, general ......................................................",4,2,2,10,5,5,9,3,6
  Arabic language and literature ..............................................................,143,75,68,8,2,6,7,4,3
  Hebrew language and literature ..............................................................,40,14,26,23,12,11,8,6,2
"  Ancient Near Eastern and biblical languages, lit., and linguistics ...................",42,25,17,20,15,5,7,5,2
"  Middle/Near Eastern and Semitic languages, lit., and ling., other ..............................",89,41,48,50,27,23,23,14,9
"  Classics and classical languages, lit., and linguistics, general ...................",1197,546,651,231,118,113,98,51,47
  Ancient/classical Greek language and literature .............................................,35,15,20,2,1,1,0,0,0
  Latin language and literature ...............................................................,81,36,45,18,8,10,0,0,0
"  Classics and classical languages, lit., and linguistics, other .......................",19,7,12,14,10,4,1,1,0
"  Celtic languages, literatures, and linguistics ..............................................",0,0,0,1,1,0,3,0,3
  Filipino/Tagalog language and literature ..............................................,5,2,3,0,0,0,0,0,0
"  Uralic languages, literatures, and linguistics ..............................................",2,0,2,0,0,0,0,0,0
  American sign language (ASL) ................................................................,120,13,107,2,2,0,0,0,0
  Sign language interpretation and translation ................................................,280,23,257,17,4,13,0,0,0
"  Foreign languages, literatures, and linguistics, other ......................................",298,87,211,67,17,50,24,5,19
 , ,,, ,,, ,,
Health professions and related programs ............................................,163440,24868,138572,83893,15625,68268,62090,26074,36016
"  Health and wellness, general ......................................................",6445,1659,4786,659,288,371,99,40,59
  Chiropractic ............................................................................,0,0,0,0,0,0,2496,1538,958
"  Communication sciences and disorders, general ............................................................",3993,222,3771,1842,78,1764,40,12,28
  Audiology/audiologist ...............................................................................,270,23,247,108,8,100,633,97,536
  Speech-language pathology/pathologist .......................................................,1053,38,1015,2414,87,2327,23,1,22
  Audiology/audiologist and speech-language pathology/pathologist .............................,4040,185,3855,2562,77,2485,186,23,163
"  Communication disorders sciences and services, other ........................................",81,1,80,97,3,94,15,1,14
  Dentistry ............................................................................,0,0,0,0,0,0,5109,2748,2361
"  Dental clinical sciences, general .................................................",0,0,0,298,177,121,10,5,5
  Advanced general dentistry ...................................................................,0,0,0,6,2,4,111,57,54
  Oral biology and oral maxillofacial pathology ................................................................,0,0,0,82,42,40,20,9,11
  Dental public health and education .............................................................,0,0,0,3,0,3,3,1,2
  Dental materials ..........................................................................,0,0,0,3,2,1,0,0,0
  Endodontics/endodontology ......................................................................,0,0,0,27,19,8,0,0,0
  Oral/maxillofacial surgery ...............................................................,0,0,0,0,0,0,2,2,0
  Orthodontics/orthodontology ...................................................................,0,0,0,81,52,29,4,4,0
  Pediatric dentistry/pedodontics ..............................................................,0,0,0,22,6,16,0,0,0
  Periodontics/periodontology ..................................................................,0,0,0,45,23,22,2,2,0
  Prosthodontics/prosthodontology .................................................................,0,0,0,34,19,15,2,2,0
"  Advanced/graduate dentistry and oral sciences, other ........................................",0,0,0,47,17,30,7,3,4
  Dental assisting/assistant ..............................................................................,1,0,1,0,0,0,0,0,0
  Dental hygiene/hygienist ....................................................................,1996,75,1921,72,2,70,0,0,0
  Dental laboratory technology/technician .....................................................,21,10,11,10,2,8,0,0,0
"  Dental services and allied professions, other ...............................................",12,0,12,8,1,7,0,0,0
  Health/health care administration/management ................................................,6968,1402,5566,6601,2144,4457,167,46,121
  Hospital and health care facilities administration/management ...............................,3308,427,2881,849,290,559,5,1,4
  Health unit manager/ward supervisor .....................................................,9,4,5,5,2,3,0,0,0
  Medical office management/administration ....................................................,4,1,3,0,0,0,0,0,0
  Health information/medical records administration/administrator .............................,1301,186,1115,197,51,146,0,0,0
  Health information/medical records technology/technician ....................................,39,6,33,0,0,0,0,0,0
  Medical/health management and clinical assistant/specialist .................................,51,10,41,6,1,5,0,0,0
  Medical staff services technology/technician ................................................,8,1,7,0,0,0,0,0,0
  Long term care administration/management ......................................................,312,29,283,10,7,3,0,0,0
  Clinical research coordinator ......................................................,21,6,15,67,8,59,0,0,0
"  Health and medical administrative services, other ...........................................",604,115,489,350,130,220,8,2,6
  Medical/clinical assistant ..................................................................,856,119,737,223,42,181,0,0,0
  Pharmacy technician/assistant .....................................................,3,1,2,0,0,0,0,0,0
  Physical therapy technician/assistant ................................................................,4,1,3,0,0,0,0,0,0
  Veterinary/animal health technology/technician and vet. assistant .....................,365,25,340,0,0,0,0,0,0
  Anesthesiologist assistant .............................................................,0,0,0,93,41,52,0,0,0
  Pathology/pathologist assistant .............................................................,10,6,4,57,11,46,0,0,0
  Respiratory therapy technician/assistant ....................................................,41,10,31,0,0,0,0,0,0
  Radiologist assistant ................................................................................,0,0,0,6,2,4,0,0,0
"  Allied health and medical assisting services, other .........................................",286,79,207,102,25,77,0,0,0
  Cardiovascular technology/technologist ......................................................,49,16,33,1,1,0,0,0,0
  Emergency medical technology/technician (EMT paramedic) .....................................,171,116,55,11,7,4,0,0,0
  Nuclear medical technology/technologist .....................................................,373,154,219,0,0,0,0,0,0
  Perfusion technology/perfusionist ...........................................................,10,8,2,48,27,21,0,0,0
  Medical radiologic technology/science radiation therapist .................................,1185,309,876,51,28,23,0,0,0
